imdbid,title,production_company
31505.0,Jamaica Inn,Mayflower Pictures Corporation
31593.0,Love Affair,RKO Radio Pictures
32976.0,Rebecca,Selznick International Pictures
32976.0,Rebecca,United Artists
32811.0,The Mortal Storm,Metro-Goldwyn-Mayer
32551.0,The Grapes of Wrath,20th Century Fox
32215.0,The Ape,Monogram Pictures
32599.0,His Girl Friday,Columbia Pictures
33028.0,The Sea Hawk,Warner Bros. Pictures
32553.0,The Great Dictator,Roy Export Company Establishment
32553.0,The Great Dictator,United Artists
32943.0,Pride and Prejudice,Loew's Incorporated
32943.0,Pride and Prejudice,Metro-Goldwyn-Mayer
32946.0,Primrose Path,RKO Radio Pictures
32376.0,"Dance, Girl, Dance",RKO Radio Pictures
32904.0,The Philadelphia Story,Metro-Goldwyn-Mayer
31359.0,Gaslight,British National Films
33045.0,The Shop Around the Corner,Metro-Goldwyn-Mayer
34175.0,The Shanghai Gesture,Arnold Pressburger Films
34175.0,The Shanghai Gesture,United Artists
33533.0,The Devil and Miss Jones,Frank Ross-Norma Krasna Inc.
33459.0,Cheers For Miss Bishop,United Artists
33459.0,Cheers For Miss Bishop,Richard A. Rowland Productions
33436.0,Buck Privates,Universal Pictures
33723.0,Hold That Ghost,Universal Pictures
33891.0,Meet John Doe,Frank Capra Productions
33891.0,Meet John Doe,Warner Bros. Pictures
34240.0,Sullivan's Travels,Paramount
34248.0,Suspicion,RKO Radio Pictures
33729.0,How Green Was My Valley,20th Century Fox
34091.0,The Reluctant Dragon,Walt Disney Productions
33787.0,King of the Zombies,Monogram Pictures
33787.0,King of the Zombies,Sterling Productions Inc.
35019.0,The Major and the Minor,Paramount
35140.0,"Now, Voyager",Warner Bros. Pictures
34746.0,For Me and My Gal,Metro-Goldwyn-Mayer
34587.0,Cat People,RKO Radio Pictures
33874.0,The Man Who Came to Dinner,Warner Bros. Pictures
35567.0,Woman of the Year,Metro-Goldwyn-Mayer
35093.0,Mrs. Miniver,Metro-Goldwyn-Mayer
36230.0,Old Acquaintance,Warner Bros. Pictures
36515.0,Watch on the Rhine,Warner Bros. Pictures
36027.0,I Walked with a Zombie,RKO Radio Pictures
36418.0,Tender Comrade,RKO Radio Pictures
36506.0,Day of Wrath,Palladium
35753.0,Le Corbeau,Continental Films
36342.0,Shadow of a Doubt,Universal Pictures
36342.0,Shadow of a Doubt,Skirball Productions
35770.0,Cry 'Havoc',Metro-Goldwyn-Mayer
36367.0,So Proudly We Hail,Paramount
36969.0,Jane Eyre,20th Century Fox
36341.0,The Seventh Victim,RKO Radio Pictures
36775.0,Double Indemnity,Paramount
37059.0,Meet Me in St. Louis,Metro-Goldwyn-Mayer
37059.0,Meet Me in St. Louis,Loew's Incorporated
37008.0,Laura,20th Century Fox
36723.0,Cover Girl,Columbia Pictures
37280.0,Since You Went Away,Vanguard Films
37280.0,Since You Went Away,Selznick International Pictures
37382.0,To Have and Have Not,Warner Bros. Pictures
36940.0,I'll Be Seeing You,United Artists
36940.0,I'll Be Seeing You,Selznick International Pictures
36940.0,I'll Be Seeing You,Dore Schary Productions
36940.0,I'll Be Seeing You,Vanguard Films
37120.0,National Velvet,Metro-Goldwyn-Mayer
36947.0,The Most Beautiful,Toho
37017.0,Lifeboat,20th Century Fox
36695.0,A Canterbury Tale,Independent Producers
36695.0,A Canterbury Tale,The Archers
37415.0,The Uninvited,Paramount
37913.0,Mildred Pierce,Warner Bros. Pictures
37800.0,I Know Where I'm Going!,The Rank Organisation
37800.0,I Know Where I'm Going!,The Archers
37800.0,I Know Where I'm Going!,J. Arthur Rank Organisation
38924.0,The Seventh Veil,Sydney Box Productions
38924.0,The Seventh Veil,Ortus Films
37558.0,Brief Encounter,Cineguild
37820.0,Isle of the Dead,RKO Radio Pictures
37671.0,The Enchanted Cottage,RKO Radio Pictures
38109.0,Spellbound,Selznick International Pictures
38109.0,Spellbound,United Artists
38890.0,"Rome, Open City",Minerva Film
38890.0,"Rome, Open City",Excelsa Films
38057.0,Scarlet Street,"Diana Productions, Inc."
38057.0,Scarlet Street,Fritz Lang Productions
38057.0,Scarlet Street,Universal Pictures
38259.0,The Woman in Green,Universal Pictures
37635.0,Dead of Night,Ealing Studios
37630.0,Les Dames du Bois de Boulogne,Les Films Raoul Ploquin
38250.0,The Wicked Lady,Gainsborough Pictures
38589.0,The Harvey Girls,Metro-Goldwyn-Mayer
38348.0,Beauty and the Beast,Andre Paulve Film
39054.0,Two Sisters from Boston,Metro-Goldwyn-Mayer
38650.0,It's a Wonderful Life,Liberty Films
38650.0,It's a Wonderful Life,RKO Radio Pictures
38990.0,The Strange Woman,Hunt Stromberg Productions
38990.0,The Strange Woman,Mars Films
38494.0,Dressed to Kill,Universal Pictures
38991.0,The Stranger,International Pictures
38991.0,The Stranger,RKO Radio Pictures
39192.0,Black Narcissus,The Archers
39192.0,Black Narcissus,J. Arthur Rank Organisation
39819.0,The Shocking Miss Pilgrim,20th Century Fox
39349.0,The Egg and I,Universal Pictures
39420.0,The Ghost and Mrs. Muir,20th Century Fox
39204.0,Body and Soul,Enterprise Productions
39204.0,Body and Soul,United Artists
39324.0,Dishonored Lady,Hunt Stromberg Productions
39324.0,Dishonored Lady,United Artists
39628.0,Miracle on 34th Street,20th Century Fox
40725.0,The Red Shoes,Independent Producers
40725.0,The Red Shoes,The Archers
40725.0,The Red Shoes,J. Arthur Rank Organisation
40321.0,Enchantment,Samuel Goldwyn Productions
40308.0,Easter Parade,Metro-Goldwyn-Mayer
40806.0,The Snake Pit,20th Century Fox
40613.0,Mr. Blandings Builds His Dream House,RKO Radio Pictures
40458.0,I Remember Mama,RKO Radio Pictures
40491.0,Joan of Arc,Walter Wanger Productions
40491.0,Joan of Arc,RKO Radio Pictures
41158.0,The Barkleys of Broadway,Metro-Goldwyn-Mayer
41716.0,On the Town,Metro-Goldwyn-Mayer
41090.0,Adam's Rib,Metro-Goldwyn-Mayer
41746.0,Pinky,20th Century Fox
40221.0,Caught,Metro-Goldwyn-Mayer
40221.0,Caught,Enterprise Productions
41594.0,Little Women,Metro-Goldwyn-Mayer
41154.0,Late Spring,Shochiku
41587.0,A Letter to Three Wives,20th Century Fox
41452.0,The Heiress,Paramount
42004.0,Under Capricorn,Transatlantic Pictures
42031.0,Flame of My Love,Shochiku
43014.0,Sunset Boulevard,Paramount
42332.0,Cinderella,Walt Disney Productions
43012.0,Summer Stock,Metro-Goldwyn-Mayer
42276.0,Born Yesterday,Columbia Pictures
42792.0,No Way Out,20th Century Fox
42994.0,Stage Fright,Warner Bros. Pictures
42958.0,Scandal,Shochiku
42436.0,Les Enfants terribles,Melville Productions
43045.0,Three Secrets,United States Pictures
43045.0,Three Secrets,Warner Bros. Pictures
42296.0,Caged,Warner Bros. Pictures
43274.0,Alice in Wonderland,Walt Disney Productions
43456.0,The Day the Earth Stood Still,20th Century Fox
44081.0,A Streetcar Named Desire,Charles K. Feldman Group
44081.0,A Streetcar Named Desire,Warner Bros. Pictures
44030.0,Show Boat,Metro-Goldwyn-Mayer
43313.0,Early Summer,Shochiku
43332.0,Bellissima,Film Bellissima
43332.0,Bellissima,CEI Incom
43949.0,Quo Vadis,Metro-Goldwyn-Mayer
43390.0,Cause for Alarm!,Metro-Goldwyn-Mayer
44205.0,Westward the Women,Metro-Goldwyn-Mayer
43614.0,The Idiot,Shochiku
45152.0,Singin' in the Rain,Metro-Goldwyn-Mayer
44855.0,Lovely to Look At,Metro-Goldwyn-Mayer
44502.0,Clash by Night,RKO Radio Pictures
44502.0,Clash by Night,Wald/Krasna Productions
43686.0,Forbidden Games,Silver Films
43511.0,Europe '51,Ponti-De Laurentiis Cinematografica
43511.0,Europe '51,Lux Film
45197.0,The Story of Robin Hood and His Merrie Men,RKO Radio Pictures
45197.0,The Story of Robin Hood and His Merrie Men,Walt Disney Productions
46183.0,Peter Pan,Walt Disney Productions
46250.0,Roman Holiday,Paramount
46438.0,Tokyo Story,Shochiku
45591.0,Calamity Jane,Warner Bros. Pictures
45810.0,Gentlemen Prefer Blondes,20th Century Fox
45659.0,The Cruel Sea,Ealing Studios
45659.0,The Cruel Sea,Michael Balcon Productions
46076.0,Miss Sadie Thompson,Columbia Pictures
46076.0,Miss Sadie Thompson,The Beckworth Corporation
46269.0,Salome,Columbia Pictures
46269.0,Salome,The Beckworth Corporation
45793.0,From Here to Eternity,Columbia Pictures
45555.0,The Big Heat,Columbia Pictures
45891.0,How to Marry a Millionaire,20th Century Fox
46187.0,Pickup on South Street,20th Century Fox
46487.0,Monsieur Hulot's Holiday,Cady
46487.0,Monsieur Hulot's Holiday,DisCina
46487.0,Monsieur Hulot's Holiday,Specta Films
46345.0,Summer with Monika,SF Studios
46022.0,The Earrings of Madame de...,Franco London Films
46022.0,The Earrings of Madame de...,Indusfilms
46022.0,The Earrings of Madame de...,Rizzoli Film
45888.0,House of Wax,Warner Bros. Pictures
47472.0,Seven Brides for Seven Brothers,Metro-Goldwyn-Mayer
47472.0,Seven Brides for Seven Brothers,Loew's Incorporated
47673.0,White Christmas,Paramount
47396.0,Rear Window,Alfred J. Hitchcock Productions
47396.0,Rear Window,Paramount
47437.0,Sabrina,Paramount
47094.0,Hobson's Choice,London Films Productions
47094.0,Hobson's Choice,British Lion Films
46511.0,Journey to Italy,Sveva Film
47580.0,Three Coins in the Fountain,20th Century Fox
